"key","en","es","nl","fr"
about_text,"This portal centralises all building information for property owners at Mirador del Mar in Palomares.","Este portal centraliza toda la información del edificio para los propietarios de Mirador del Mar en Palomares.","Dit portaal centraliseert alle informatie van het gebouw voor de eigenaars van Mirador del Mar in Palomares.","Ce portail centralise toutes les informations de la résidence pour les propriétaires de Mirador del Mar à Palomares."
about_title,"About Mirador del Mar","Acerca de Mirador del Mar","Over Mirador del Mar","À Propos de Mirador del Mar"
card_about_desc,"General portal information for property owners.","Información general del portal para propietarios.","Algemene informatie over de portaalsite voor eigenaars.","Informations générales sur le portail pour les propriétaires."
card_contacts_desc,"Contact details for property management and emergencies.","Datos de contacto para la administración y emergencias.","Contactgegevens voor het beheer en noodgevallen.","Coordonnées de l'administration et des services d'urgence."
card_documents_desc,"Draft building regulations ready for review and discussion.","Borrador de normas listo para revisar y debatir.","Ontwerp van het reglement klaar om te bekijken en te bespreken.","Projet de règlement prêt à être examiné et débattu."
card_electricity_desc,"Details regarding meters, consumer units and infrastructure.","Detalles de contadores, interruptores e infraestructura.","Details van meters, schakelaars en infrastructuur.","Détails des compteurs, disjoncteurs et infrastructures."
card_emergency_desc,"Critical emergency numbers for Palomares & Vera region.","Números de emergencia imprescindibles para la región de Palomares y Vera.","Belangrijke alarmnummers voor de regio Palomares en Vera.","Numéros d&#x27;urgence essentiels pour la région de Palomares et Vera."
card_garage_desc,"Nice Spin motor operations, emergency manual opening, and remotes.","Funcionamiento del motor «Nice Spin», apertura manual de emergencia y mandos a distancia.","Goede werking van de Spin-motor, handmatige noodontgrendeling en afstandsbedieningen.","Fonctionnement du moteur « Nice Spin », ouverture manuelle d&#x27;urgence et télécommandes."
card_insurance_desc,"The official building insurance document for Mirador del Mar.","El documento oficial del seguro de Mirador del Mar.","Het officiële verzekeringsdocument van Mirador del Mar.","Le document officiel de l'assurance de Mirador del Mar."
card_internet_desc,"Details of network infrastructure, full fibre and routers.","Detalles de la infraestructura de red, fibra y router.","Details van de netwerkinfrastructuur, glasvezel en router.","Détails de l'infrastructure réseau, fibre et routeur."
card_keys_desc,"Information on technical keys and service rooms.","Resumen de llaves y acceso a salas técnicas.","Overzicht van sleutels en toegang tot technische ruimten.","Aperçu des clés et des accès aux locaux techniques."
card_maintenance_desc,"General maintenance and cleaning information.","Información de mantenimiento general y limpieza.","Informatie over algemeen onderhoud en schoonmaak.","Informations sur l'entretien général et le nettoyage."
card_water_desc,"Details on mains supply, isolation valves and emergencies.","Detalles sobre suministro, válvulas e emergencias.","Details over watertoevoer, kranen en noodgevallen.","Détails sur l'alimentation, les vannes et les urgences."
contacts_emergency,"Emergencies: +34 123 456 789","Emergencias: +34 123 456 789","Nodgevallen: +34 123 456 789","Urgences : +34 123 456 789"
contacts_manager,"Property Manager: manager@example.com","Administrador del edificio: manager@example.com","Syndicus van het gebouw: manager@example.com","Syndic de l'immeuble : manager@example.com"
contacts_title,"Important Contacts","Contactos Importantes","Belangrijke Contacten","Contacts Importants"
doc_en,"Common Area Rules – Residence (EN)","Common Area Rules – Residence (EN)","Common Area Rules – Residence (EN)","Common Area Rules – Residence (EN)"
doc_es,"Reglamento de zonas comunes – Residencia (ES)","Reglamento de zonas comunes – Residencia (ES)","Reglamento de zonas comunes – Residencia (ES)","Reglamento de zonas comunes – Residencia (ES)"
doc_fr,"Règlement des parties communes – Résidence (FR)","Règlement des parties communes – Résidence (FR)","Règlement des parties communes – Résidence (FR)","Règlement des parties communes – Résidence (FR)"
doc_nl,"Reglement gemeenschappelijke delen – Residentie (NL)","Reglement gemeenschappelijke delen – Residentie (NL)","Reglement gemeenschappelijke delen – Residentie (NL)","Reglement gemeenschappelijke delen – Residentie (NL)"
documents_text,"Draft regulations ready to be reviewed and discussed at the next annual general meeting (AGM) of owners.","Borrador de normas listo para revisar y debatir en la próxima reunión de propietarios.","Ontwerp van het reglement klaar om na te kijken en te bespreken op de volgende algemene vergadering.","Projet de règlement prêt à être examiné et débattu lors de la prochaine assemblée générale des copropriétaires."
documents_title,"Rules and Proposals","Normas y Propuestas","Reglement en Voorstellen","Règlement et Propositions"
elec_cabinet_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
elec_cabinet_loc_value,"Outdoor, located at the entrance to the underground car park on the right-hand side.","Al aire libre, situado a la entrada del aparcamiento subterráneo, a la derecha.","Buiten, aan de rechterkant bij de ingang van de ondergrondse parkeergarage.","À l&#x27;extérieur, situé à l&#x27;entrée du parking souterrain, sur la droite."
elec_cabinet_title,"Main Electrical Cabinet & Smart Meters","Armario eléctrico principal y contadores inteligentes","Hoofdschakelkast en slimme meters","Armoire électrique principale et compteurs intelligents"
elec_garage_desc,"This control box governs multiple communal garage and pool systems:","Esta caja de control gestiona varios sistemas comunes del garaje y la piscina:","Deze schakelkast regelt diverse gemeenschappelijke garage- en zwembadsystemen:","Ce boîtier de commande gère plusieurs systèmes communs du garage et de la piscine :"
elec_garage_gate,"<strong>Garage Entrance Gate (Puerta):</strong> Circuit controlling the motorized vehicle access gate at the front of the garage.","<strong>Puerta de entrada al garaje:</strong> Circuito que controla la puerta de acceso para vehículos motorizados situada en la parte delantera del garaje.","<strong>Garagedeur (Puerta):</strong> Schakeling voor de bediening van de gemotoriseerde toegangspoort aan de voorkant van de garage.","<strong>Portail d&#x27;entrée du garage (Puerta) :</strong> Circuit commandant le portail motorisé d&#x27;accès aux véhicules situé à l&#x27;avant du garage."
